Date,Home,Away,Score,Referee
2025-03-07,BB Bodrumspor,Kasımpaşa,1–0,Mehmet Türkmen
2025-03-08,Kayserispor,Başakşehir,3–1,Ali Şansalan
2025-03-08,Antalyaspor,Rizespor,2–1,Cihan Aydın
2025-03-08,Trabzonspor,Hatayspor,1–2,Alper Akarsu
2025-03-09,Sivasspor,Göztepe,3–1,Burak Pakkan
2025-03-09,Samsunspor,Adana Demirspor,3–2,Arda Kardeşler
2025-03-09,Eyüpspor,Konyaspor,2–1,Atilla Karaoğlan
2025-03-09,Alanyaspor,Galatasaray,1–2,Yasin Kol
2025-03-10,Beşiktaş,Gaziantep FK,1–2,Zorbay Küçük
2025-03-14,Galatasaray,Antalyaspor,4–0,Ozan Ergün
2025-03-15,Gaziantep FK,Kayserispor,1–0,Arda Kardeşler
2025-03-15,Kasımpaşa,Alanyaspor,2–1,Halil Umut Meler
2025-03-15,Başakşehir,Trabzonspor,0–3,Mehmet Türkmen
2025-03-15,Konyaspor,Beşiktaş,1–0,Ali Şansalan
2025-03-16,Rizespor,BB Bodrumspor,0–2,Kadir Sağlam
2025-03-16,Göztepe,Eyüpspor,1–1,Yasin Kol
2025-03-16,Hatayspor,Sivasspor,3–2,Çağdaş Altay
2025-03-16,Fenerbahçe,Samsunspor,0–0,Cihan Aydın
2025-03-28,Antalyaspor,Alanyaspor,2–1,Burak Pakkan
2025-03-28,Kayserispor,Hatayspor,5–0,Batuhan Kolak
2025-03-28,Konyaspor,Gaziantep FK,1–0,Oğuzhan Çakir
2025-03-28,BB Bodrumspor,Fenerbahçe,2–4,Atilla Karaoğlan
2025-03-29,Sivasspor,Adana Demirspor,5–1,Ozan Ergün
2025-03-29,Samsunspor,Kasımpaşa,0–2,Zorbay Küçük
2025-03-29,Trabzonspor,Göztepe,1–1,Ali Şansalan
2025-03-29,Beşiktaş,Galatasaray,2–1,Yasin Kol
2025-03-31,Eyüpspor,Başakşehir,1–3,Arda Kardeşler
2025-04-04,Adana Demirspor,Kayserispor,0–2,Direnç Tonusluoğlu
2025-04-05,Rizespor,Sivasspor,1–1,Oğuzhan Çakir
2025-04-05,Başakşehir,Konyaspor,1–0,Çağdaş Altay
2025-04-05,Antalyaspor,Samsunspor,2–1,Umit Öztürk
2025-04-06,Alanyaspor,BB Bodrumspor,0–1,Arda Kardeşler
2025-04-06,Hatayspor,Eyüpspor,0–1,Burak Pakkan
2025-04-06,Fenerbahçe,Trabzonspor,4–1,Mehmet Türkmen
2025-04-07,Göztepe,Gaziantep FK,1–1,Adnan Deniz Kayatepe
2025-04-07,Kasımpaşa,Beşiktaş,1–1,Kadir Sağlam
2025-04-11,Samsunspor,Galatasaray,0–2,Ozan Ergün
2025-04-12,Konyaspor,Göztepe,1–0,Umit Öztürk
2025-04-12,BB Bodrumspor,Antalyaspor,0–0,Direnç Tonusluoğlu
2025-04-12,Beşiktaş,Başakşehir,0–2,Cihan Aydın
2025-04-13,Gaziantep FK,Hatayspor,2–1,Ali Şansalan
2025-04-13,Kayserispor,Kasımpaşa,1–0,Abdullah Taşkınsoy
2025-04-13,Trabzonspor,Rizespor,2–0,Çağdaş Altay
2025-04-13,Sivasspor,Fenerbahçe,1–3,Yasin Kol
2025-04-14,Eyüpspor,Adana Demirspor,6–0,Alper Akarsu
2025-04-18,Hatayspor,Konyaspor,2–3,Halil Umut Meler
2025-04-18,Galatasaray,BB Bodrumspor,2–0,Mehmet Türkmen
2025-04-19,Kasımpaşa,Sivasspor,3–1,Ali Şansalan
2025-04-19,Adana Demirspor,Trabzonspor,0–1,Abdullah Taşkınsoy
2025-04-19,Göztepe,Beşiktaş,1–1,Ozan Ergün
2025-04-20,Başakşehir,Gaziantep FK,2–1,Zorbay Küçük
2025-04-20,Rizespor,Eyüpspor,1–0,Umit Öztürk
2025-04-20,Fenerbahçe,Kayserispor,3–3,Oğuzhan Çakir
2025-04-21,Alanyaspor,Samsunspor,1–0,Atilla Karaoğlan
2025-04-25,Beşiktaş,Hatayspor,5–1,Adnan Deniz Kayatepe
2025-04-26,Sivasspor,Antalyaspor,2–0,Burak Pakkan
2025-04-26,BB Bodrumspor,Samsunspor,1–2,Yasin Kol
2025-04-26,Gaziantep FK,Fenerbahçe,1–3,Direnç Tonusluoğlu
2025-04-27,Konyaspor,Adana Demirspor,3–1,Arda Kardeşler
2025-04-27,Trabzonspor,Alanyaspor,4–3,Ali Şansalan
2025-04-27,Eyüpspor,Galatasaray,1–5,Çağdaş Altay
2025-04-27,Kayserispor,Rizespor,1–0,Atilla Karaoğlan
2025-04-28,Göztepe,Başakşehir,4–1,Kadir Sağlam
2025-05-02,Antalyaspor,Konyaspor,1–0,Cihan Aydın
2025-05-03,Alanyaspor,Kayserispor,1–1,Umit Öztürk
2025-05-03,Rizespor,Gaziantep FK,2–0,Mehmet Türkmen
2025-05-03,Galatasaray,Sivasspor,4–1,Ozan Ergün
2025-05-03,Hatayspor,Başakşehir,2–4,Ali Yılmaz
2025-05-04,Samsunspor,Eyüpspor,3–0,Muhammetali Metoğlu
2025-05-04,Adana Demirspor,Göztepe,1–2,Batuhan Kolak
2025-05-04,Fenerbahçe,Beşiktaş,0–1,Yasin Kol
2025-05-05,Kasımpaşa,Trabzonspor,1–1,Halil Umut Meler
2025-05-09,Başakşehir,Fenerbahçe,1–4,Burak Pakkan
2025-05-09,Gaziantep FK,Alanyaspor,0–1,Kadir Sağlam
2025-05-10,Eyüpspor,Kasımpaşa,0–3,Adnan Deniz Kayatepe
2025-05-10,Konyaspor,Rizespor,2–1,Ozan Ergün
2025-05-10,Trabzonspor,Galatasaray,0–2,Atilla Karaoğlan
2025-05-11,Sivasspor,BB Bodrumspor,0–0,Umit Öztürk
2025-05-11,Göztepe,Hatayspor,1–1,Abdullah Taşkınsoy
2025-05-11,Beşiktaş,Adana Demirspor,4–1,Çağdaş Altay
2025-05-12,Kayserispor,Antalyaspor,3–1,Arda Kardeşler
2025-05-17,Adana Demirspor,Hatayspor,0–5,Ömer Faruk Turtay
2025-05-18,Samsunspor,Sivasspor,1–0,Halil Umut Meler
2025-05-18,Rizespor,Göztepe,6–3,Oğuzhan Çakir
2025-05-18,Fenerbahçe,Eyüpspor,2–1,Ozan Ergün
2025-05-18,Alanyaspor,Beşiktaş,1–1,Mehmet Türkmen
2025-05-18,Antalyaspor,Gaziantep FK,0–0,Alper Akarsu
2025-05-18,Kasımpaşa,Başakşehir,2–3,Atilla Karaoğlan
2025-05-18,Galatasaray,Kayserispor,3–0,Ali Şansalan
2025-05-18,BB Bodrumspor,Trabzonspor,1–1,Çağdaş Altay
2025-05-24,Eyüpspor,Antalyaspor,2–1,Oğuzhan Aksu
2025-05-24,Göztepe,Galatasaray,0–2,Batuhan Kolak
2025-05-24,Gaziantep FK,Kasımpaşa,2–2,Fatih Tokail
2025-05-25,Konyaspor,Alanyaspor,1–2,Atilla Karaoğlan
2025-05-25,Kayserispor,BB Bodrumspor,1–1,Kadir Sağlam
2025-05-25,Beşiktaş,Rizespor,1–2,Halil Umut Meler
2025-05-25,Trabzonspor,Samsunspor,2–2,Ozan Ergün
2025-05-25,Başakşehir,Adana Demirspor,2–3,Gürcan Hasova
